Title_id,Age,IMDb,Rotten_tomatoes
858,16+,8.2,
859,all,6.1,
860,16+,8.3,
861,18+,8.0,
862,16+,8.4,
863,16+,7.9,
864,all,7.7,
865,,7.1,
866,,8.0,
867,7+,6.8,
868,18+,4.8,38%
869,7+,7.2,
870,7+,8.2,
871,7+,7.4,
872,,,
873,18+,8.4,
874,18+,6.4,
875,,7.6,
876,,6.2,
877,7+,7.4,
878,16+,7.2,
879,7+,7.0,
880,,8.5,
881,18+,6.3,
882,7+,6.2,
883,18+,7.7,
884,,6.5,
885,,8.2,
886,,6.7,
887,all,7.4,
888,16+,7.6,
889,,7.9,
890,18+,3.8,71%
891,,5.6,
892,7+,8.0,
893,,8.2,
894,,7.0,
895,,6.7,40%
896,,7.4,
897,7+,7.5,
898,,7.7,
899,,7.4,
900,18+,6.1,
901,16+,6.2,
902,,7.2,
903,,7.9,
904,,7.3,
905,7+,6.9,
906,,6.6,
907,18+,6.8,33%
908,all,6.8,
909,18+,6.8,
910,,8.6,
911,7+,7.3,
912,16+,6.6,
913,16+,7.5,
914,16+,8.9,
915,,7.8,
916,all,6.2,
917,16+,8.6,
918,18+,6.7,80%
919,16+,7.1,
920,7+,8.7,
921,7+,8.3,
922,all,7.7,
923,16+,7.0,
924,all,7.5,
925,7+,6.7,
926,,8.0,
927,16+,7.1,
928,16+,7.1,
929,18+,7.2,
930,16+,7.0,
931,18+,7.2,
932,,7.6,
933,,6.4,
934,18+,5.6,
935,,7.3,
936,all,7.3,
937,16+,7.4,
938,7+,7.9,
939,16+,7.6,
940,16+,7.0,
941,16+,8.1,
942,,7.9,
943,,8.0,
944,16+,7.0,
945,all,5.5,
946,16+,5.9,
947,16+,8.0,
948,7+,7.7,
949,16+,7.2,
950,7+,6.6,
951,,8.2,
952,7+,5.5,
953,all,5.9,
954,,8.2,
955,,6.5,57%
956,all,7.3,
957,7+,7.0,
958,,8.0,
959,all,8.3,
960,all,8.0,
961,18+,6.3,
962,18+,7.4,
963,,8.4,
964,all,6.2,
965,,7.6,
966,,7.7,
967,,6.8,
968,,,
969,,6.7,
970,,6.5,50%
971,18+,6.8,
972,all,5.4,
973,all,8.5,
974,,8.1,
975,7+,7.0,
976,16+,6.8,
977,,6.0,
978,,7.5,
979,18+,6.4,
980,7+,7.3,
981,,6.5,
982,,6.5,
983,18+,7.9,
984,7+,8.5,
985,,7.3,
986,,7.8,
987,all,8.0,
988,18+,7.9,
989,18+,7.1,83%
990,18+,6.8,
991,7+,6.5,
992,,7.4,
993,16+,8.1,
994,18+,6.3,
995,16+,7.4,
996,,7.0,71%
997,7+,6.2,
998,18+,7.6,
999,7+,6.9,
1000,7+,7.0,
1001,all,7.3,
1002,7+,7.1,
1003,,8.2,
1004,,7.0,
1005,7+,7.7,
1006,,7.7,
1007,16+,7.2,
1008,18+,6.3,
1009,,6.1,
1010,18+,7.6,
1011,7+,6.3,50%
1012,,6.5,60%
1013,16+,7.6,
1014,,8.3,
1015,,7.6,
1016,7+,7.6,
1017,16+,7.5,
1018,,8.0,
1019,,7.2,
1020,7+,5.6,80%
1021,,7.8,
1022,,8.0,
1023,all,5.7,
1024,7+,7.4,
1025,all,8.0,
1026,16+,3.2,
1027,,7.1,
1028,16+,8.0,
1029,all,7.6,
1030,16+,6.8,50%
1031,16+,7.1,
1032,,7.8,
1033,7+,7.9,
1034,,7.8,
1035,,6.3,
1036,16+,8.4,
1037,7+,6.7,
1038,7+,6.8,
1039,all,6.9,
1040,7+,5.0,
1041,,6.3,
1042,,8.6,
1043,16+,7.1,
1044,,7.5,
1045,18+,8.0,
1046,all,8.7,
1047,18+,6.0,
